Timestamp,¿Quién decide habitualmente qué se come en tu hogar?,Pensando en la última semana: ¿cómo se decidió qué comer cada día en tu hogar?,"En el último mes, ¿con qué frecuencia te pasó de llegar a la hora de cocinar sin saber qué preparar?",¿Con qué frecuencia sientes que en tu hogar se repiten siempre las mismas comidas?,¿Qué usas hoy para organizar las comidas o las compras de tu hogar?,"Si usas una app específica de comidas o listas, ¿cuál?","En el último mes, ¿usaste ChatGPT u otra IA para pedir ideas de comidas o armar un menú?","¿Alguna vez descargaste una app para planificar comidas, recetas o listas de compras? ¿Qué pasó con ella?",¿Con qué frecuencia se compran alimentos en tu hogar?,¿Dónde se compran los alimentos de tu hogar?,"Antes de ir a comprar, ¿qué haces normalmente?","¿Qué es lo más difícil de resolver las comidas de tu hogar, semana a semana?",¿Quiénes viven en tu hogar?,¿En qué país vives?
7/27/2026 13:02:04,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,A veces,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Argentina
7/27/2026 13:02:20,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,"Notas del celular, Planilla (Excel, Google Sheets)",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Argentina
7/27/2026 13:02:21,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,"Con mi pareja, Con hijos en edad escolar",Argentina
7/27/2026 13:02:22,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:02:24,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:02:25,Principalmente yo,Había un plan para varios días de la semana,Nunca,Con frecuencia,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Casi todos los días,"Supermercado, Verdulería, carnicería u otros comercios especializados, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",,Con hijos en edad escolar,Colombia
7/27/2026 13:02:36,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:02:44,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Aproximadamente una vez por semana,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular",,"Sí, algunas veces en el mes",Nunca descargué una,Casi todos los días,"Supermercado, Tienda de barrio / almacén / minimarket","Reviso qué hay y qué falta en casa, y armo una lista",,Con hijos en edad escolar,Argentina
7/27/2026 13:02:46,Principalmente yo,"Se decidió el mismo día, unas horas antes",Casi todos los días,Casi siempre,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Mercado o feria, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",Que es lo mas facil y rapido para hacer,Vivo solo/a,Chile
7/27/2026 13:02:53,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,Notas del celular,,"No, nunca lo usé para eso",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Argentina
7/27/2026 13:02:56,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Sí, algunas veces en el mes",La probé unos días y la dejé,Una vez por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",el tiempo que necesito para prepararlas,"Con mi pareja, Con hijos en edad escolar",Chile
7/27/2026 13:02:58,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",ninguna,"Sí, algunas veces en el mes",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",pensar en que comer,"Con mi pareja, Con hijos universitarios o jóvenes adultos",Argentina
7/27/2026 13:02:59,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,Solo la memoria,,"Lo probé alguna vez, pero no seguí",La probé unos días y la dejé,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados",No llevo lista: decido en el lugar,,Vivo solo/a,Argentina
7/27/2026 13:03:01,Principalmente yo,"Se decidió el mismo día, unas horas antes",Nunca,Con frecuencia,Notas del celular,,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Argentina
7/27/2026 13:03:03,Principalmente yo,Se decidió el día anterior,Varias veces por semana,Con frecuencia,"Notas del celular, Solo la memoria",,"Sí, algunas veces en el mes",Nunca descargué una,Una vez por semana,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista","Que cocinar, que sea sano y saludable para no subir de peso","Con mi pareja, Con hijos en edad escolar",Chile
7/27/2026 13:03:03,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,A veces,Notas del celular,Notion para anotar,"Sí, algunas veces en el mes",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",Saber q cocinar cada día y que me salga bien,Con mi pareja,Perú
7/27/2026 13:03:04,Principalmente yo,"Se decidió el mismo día, unas horas antes",1 o 2 veces en el mes,A veces,Notas del celular,,"Sí, algunas veces en el mes",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",Saber que beneficio me aporta,Vivo solo/a,Argentina
7/27/2026 13:03:06,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Casi siempre,Solo la memoria,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",,Con otros familiares,Chile
7/27/2026 13:03:07,Principalmente yo,"Se decidió el mismo día, unas horas antes",Nunca,Con frecuencia,nada,,"No, nunca lo usé para eso",Nunca descargué una,Casi todos los días,"Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados",No llevo lista: decido en el lugar,,Vivo solo/a,Argentina
7/27/2026 13:03:10,"Yo, compartido con otra persona",Se decidió el día anterior,Nunca,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador)",no,"Sí, algunas veces en el mes",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",pensar en algo del gusto de todos y no ser repetitivo ,"Con mi pareja, Con hijos en edad escolar",Colombia
7/27/2026 13:03:14,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,A veces,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),No,"Sí, algunas veces en el mes",Nunca descargué una,Una vez por semana,Tienda de barrio / almacén / minimarket,"Reviso qué hay y qué falta en casa, y armo una lista","Qué receta hacer, que sea equilibrada en nutrientes, con lo que tengo disponible",Vivo solo/a,Argentina
7/27/2026 13:03:16,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Nunca,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Solo la memoria",,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Mayorista, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Argentina
7/27/2026 13:03:20,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,Notas del celular,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Verdulería, carnicería u otros comercios especializados, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista","Comer lo mismo, se dañan las verduras y frutas",Con mi pareja,Colombia
7/27/2026 13:03:24,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:03:24,Principalmente yo,Había un plan para varios días de la semana,Varias veces por semana,Con frecuencia,Solo la memoria,NO,"Lo probé alguna vez, pero no seguí",La probé unos días y la dejé,Una vez por semana,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista","Mi dieta es difereten a la de mi esposa, ella puede comer casi cualquier cosa",Con hijos universitarios o jóvenes adultos,Centroamérica
7/27/2026 13:03:26,"Yo, compartido con otra persona",Se decidió el día anterior,Aproximadamente una vez por semana,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Lo probé alguna vez, pero no seguí",La probé unos días y la dejé,Una vez por semana,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista",,"Con mi pareja, Con hijos en edad escolar",Argentina
7/27/2026 13:03:34,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,A veces,"Lista en papel (cuaderno, imán en el refrigerador), Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Mayorista, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Argentina
7/27/2026 13:03:36,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",Tiempo de cocción,Con hijos en edad escolar,Argentina
7/27/2026 13:03:53,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Con frecuencia,nada,NO,"Sí, algunas veces en el mes",Nunca descargué una,Dos o tres veces por semana,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista","la cena, porque al medio dia comemos de vianda",Con mi pareja,Argentina
7/27/2026 13:03:54,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),,"Sí, todas las semanas",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Verdulería, carnicería u otros comercios especializados, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",Tener el tiempo para cocinar y no tener que resolver con lo mas rapido y poco saludable,Con mi pareja,Argentina
7/27/2026 13:03:56,Principalmente yo,"Se decidió el mismo día, unas horas antes",Aproximadamente una vez por semana,Con frecuencia,Una app específica de comidas o listas,Listonic,"No, nunca lo usé para eso",La sigo usando cada semana,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Mayorista, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",Agregar variedad de platillos con los mismos ingredientes que regularmente compro,Con mi pareja,México
7/27/2026 13:04:03,Principalmente yo,Se decidió el día anterior,Varias veces por semana,Con frecuencia,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"No, nunca lo usé para eso",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",La preparación y el tiempo ,"Con hijos en edad escolar, Con hijos universitarios o jóvenes adultos",Argentina
7/27/2026 13:04:10,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Con frecuencia,"Mensajes de WhatsApp (a mí mismo/a o al grupo familiar), Solo la memoria",,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,Supermercado,No llevo lista: decido en el lugar,,"Con mi pareja, Con hijos en edad escolar",Chile
7/27/2026 13:04:14,Principalmente yo,"Se decidió el mismo día, unas horas antes",Aproximadamente una vez por semana,Con frecuencia,"Mensajes de WhatsApp (a mí mismo/a o al grupo familiar), Solo la memoria",,"Sí, algunas veces en el mes",Nunca descargué una,Casi todos los días,"Verdulería, carnicería u otros comercios especializados","Llevo una lista de lo de siempre, sin revisar mucho",Comer rico pero sin estar mucho tiempo en la cocina ,Con hijos en edad escolar,Argentina
7/27/2026 13:04:15,Principalmente yo,"Se decidió el mismo día, unas horas antes",Aproximadamente una vez por semana,Con frecuencia,"ChatGPT u otra inteligencia artificial, Solo la memoria",,"Sí, algunas veces en el mes",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Argentina
7/27/2026 13:04:16,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Casi siempre,Notas del celular,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una vez por semana,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista",,"Con mi pareja, Con hijos en edad escolar",Argentina
7/27/2026 13:04:18,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,Solo la memoria,ninguna,"Sí, algunas veces en el mes",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",que haya variedad. que sea sano,Con hijos universitarios o jóvenes adultos,Argentina
7/27/2026 13:04:21,Principalmente yo,Había un plan completo para toda la semana,Aproximadamente una vez por semana,A veces,"Lista en papel (cuaderno, imán en el refrigerador), Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",No uso,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",La proteina que sea diferente de huevo y queso porque no podemos comer de esto por alergias,"Con mi pareja, Con hijos en edad escolar",Colombia
7/27/2026 13:04:22,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:04:22,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Nunca,Con frecuencia,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,"Con mi pareja, Con hijos en edad escolar, Con hijos universitarios o jóvenes adultos",Argentina
7/27/2026 13:04:26,Principalmente yo,"Se decidió el mismo día, unas horas antes",Aproximadamente una vez por semana,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Solo la memoria",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Casi todos los días,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",Cumplir los valores nutricionales y no repetir para aburrirse.,Vivo solo/a,Argentina
7/27/2026 13:04:28,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Nunca,A veces,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",Ninguna,"Lo probé alguna vez, pero no seguí",La probé unos días y la dejé,Dos o tres veces por semana,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista",No repetir mucho los menús,"Con mi pareja, Con otros familiares",Colombia
7/27/2026 13:04:37,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Aproximadamente una vez por semana,Con frecuencia,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Sí, algunas veces en el mes",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Tienda de barrio / almacén / minimarket","Reviso qué hay y qué falta en casa, y armo una lista","Tengo un niño de 4 años y es acotado su ""menú"" esta en la etapa de preferencias...","Con mi pareja, Con hijos en edad escolar",Argentina
7/27/2026 13:04:39,"Yo, compartido con otra persona",Había un plan para varios días de la semana,Nunca,A veces,"Lista en papel (cuaderno, imán en el refrigerador)",NA,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Tienda de barrio / almacén / minimarket","Reviso qué hay y qué falta en casa, y armo una lista",q preparar para variar,Vivo solo/a,Colombia
7/27/2026 13:04:42,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Con frecuencia,Solo la memoria,,"Sí, algunas veces en el mes",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista",porcentaje nutricional alto,Vivo solo/a,Argentina
7/27/2026 13:04:42,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,A veces,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Solo la memoria",,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",,Vivo solo/a,Chile
7/27/2026 13:04:49,Principalmente yo,"Se decidió el mismo día, unas horas antes",Nunca,Con frecuencia,Notas del celular,,"No, nunca lo usé para eso",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Tienda de barrio / almacén / minimarket","Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Chile
7/27/2026 13:04:54,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,Casi siempre,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Sin un patrón fijo,"Supermercado, Mayorista, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Mercado o feria, Online (app o web del supermercado, Rappi, PedidosYa u otras)",No llevo lista: decido en el lugar,,Vivo solo/a,Argentina
7/27/2026 13:04:55,"Yo, compartido con otra persona",Se decidió el día anterior,Aproximadamente una vez por semana,Con frecuencia,Notas del celular,,"No, nunca lo usé para eso",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Verdulería, carnicería u otros comercios especializados, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Llevo una lista de lo de siempre, sin revisar mucho",,Con otros familiares,Chile
7/27/2026 13:05:05,"Yo, compartido con otra persona",Se decidió el día anterior,1 o 2 veces en el mes,Con frecuencia,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista",que comida hacemos,Con hijos universitarios o jóvenes adultos,Argentina
7/27/2026 13:05:06,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Casi todos los días,Con frecuencia,"Mensajes de WhatsApp (a mí mismo/a o al grupo familiar), Solo la memoria",,"No, nunca lo usé para eso",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket","Reviso qué hay y qué falta en casa, y armo una lista",,"Con mi pareja, Con hijos universitarios o jóvenes adultos",Argentina
7/27/2026 13:05:12,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Varias veces por semana,Casi siempre,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket","Reviso qué hay y qué falta en casa, y armo una lista",,"Con hijos en edad escolar, Con hijos universitarios o jóvenes adultos",Argentina
7/27/2026 13:05:13,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,Solo la memoria,No,"No, nunca lo usé para eso",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",Idear algo sabroso y apetitoso,"Con hijos universitarios o jóvenes adultos, Con otros familiares",Chile
7/27/2026 13:05:19,Principalmente yo,"Se decidió el mismo día, unas horas antes",1 o 2 veces en el mes,Con frecuencia,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar), Una app específica de comidas o listas",Keep,"No, nunca lo usé para eso",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Mayorista, Verdulería, carnicería u otros comercios especializados, Mayorista dietética, Proveedor verduras orgánicas","Llevo una lista de lo de siempre, sin revisar mucho",Hacer las compras,Con hijos universitarios o jóvenes adultos,Argentina
7/27/2026 13:05:19,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,Notas del celular,,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",Definir que comer.,Vivo solo/a,Colombia
7/27/2026 13:05:20,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,Una app específica de comidas o listas,,"No, nunca lo usé para eso",La sigo usando cada semana,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Mayorista, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,"Con mi pareja, Con hijos en edad escolar",Argentina
7/27/2026 13:05:22,Principalmente yo,Había un plan para varios días de la semana,1 o 2 veces en el mes,Con frecuencia,Notas del celular,SIRENAS,"No, nunca lo usé para eso",La sigo usando a veces,Una vez por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Argentina
7/27/2026 13:05:40,"Yo, compartido con otra persona",Había un plan para varios días de la semana,Aproximadamente una vez por semana,A veces,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Sin un patrón fijo,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Argentina
7/27/2026 13:05:40,Principalmente yo,Se decidió el día anterior,Varias veces por semana,Con frecuencia,"Mensajes de WhatsApp (a mí mismo/a o al grupo familiar), ChatGPT u otra inteligencia artificial, Solo la memoria",,"Sí, todas las semanas",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Colombia
7/27/2026 13:05:41,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Aproximadamente una vez por semana,Con frecuencia,Solo la memoria,,"No, nunca lo usé para eso",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",,Con hijos universitarios o jóvenes adultos,Chile
7/27/2026 13:05:44,"Yo, compartido con otra persona",Se decidió el día anterior,1 o 2 veces en el mes,A veces,Solo la memoria,,"Sí, algunas veces en el mes",La probé unos días y la dejé,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Verdulería, carnicería u otros comercios especializados, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",comida vegetariana y normal,Con hijos universitarios o jóvenes adultos,Chile
7/27/2026 13:05:47,"Yo, compartido con otra persona",Se decidió el día anterior,Varias veces por semana,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Sí, algunas veces en el mes",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",,Con hijos en edad escolar,Chile
